arm,seed,step,val_primary,val_nmae,emulator_val_primary,naive_val_primary,prefix_cost_s,selected
E_VALUE_DELTA,92711,0,0.24780562359727362,0.3531245290059376,0.24780562155187802,,104.37997080001514,False
E_VALUE_DELTA,92711,16,0.245744062996462,0.3504961607248223,0.24564628283428386,,133.46221989998594,False
E_VALUE_DELTA,92711,32,0.24454739962997638,0.34916010816389886,0.24454496948931012,,162.51242019998608,False
E_VALUE_DELTA,92711,64,0.24206808503303998,0.34652783003895415,0.24205781787102298,,214.67712530028075,True
E_VALUE_DELTA,92711,128,0.24262116834779546,0.3473293531365566,0.24244510456450585,,312.8930639005848,False
E_RESPONSE_DELTA,92711,0,0.24780562359727362,0.3531245290059376,0.2478056212669118,,110.59559729992179,False
E_RESPONSE_DELTA,92711,16,0.24544182301670248,0.35009195699536827,0.24555016855075476,,139.0387317998684,False
E_RESPONSE_DELTA,92711,32,0.24433666944471472,0.34885925555921593,0.2446516340979585,,167.12506959988968,False
E_RESPONSE_DELTA,92711,64,0.24227006450014943,0.34687164999708003,0.24283560115877942,,218.30341450014384,True
E_RESPONSE_DELTA,92711,128,0.2423816505826536,0.34717341236294497,0.24273010928633607,,313.94106870068936,False
F_FULL,92712,0,0.24780562359727362,0.3531245290059376,,,10.533850399951916,False
F_FULL,92712,16,0.24429631521674244,0.3481434891958936,,,35.89718759997049,False
F_FULL,92712,32,0.24317846422277795,0.3471199636915374,,,61.27621320000617,False
F_FULL,92712,64,0.24275575998198373,0.34731301356233396,,,106.46700220031198,False
F_FULL,92712,128,0.2408252820615718,0.3453526228398047,,,191.8742994001368,True
F_TOP3,92712,0,0.24780562359727362,0.3531245290059376,,,9.008737399999518,False
F_TOP3,92712,16,0.24648773029969812,0.3513679180472461,,,20.65251629962586,False
F_TOP3,92712,32,0.2454163846180824,0.3501119671719278,,,32.55574989953311,False
F_TOP3,92712,64,0.2441767715626655,0.34883759198165715,,,51.728264499572106,False
F_TOP3,92712,128,0.24242872950882233,0.3472483332369021,,,86.0786604990135,True
E_EMLOC,92712,0,0.24780562359727362,0.3531245290059376,0.24675469865725183,0.24780562359727362,27.194781799975317,False
E_EMLOC,92712,16,0.24479208770305486,0.3486433740402275,0.24344767255082292,0.24484421893821556,56.88969600002747,False
E_EMLOC,92712,32,0.2435506849950593,0.34722002179577816,0.24201148643241108,0.24361402589477177,86.11955679999664,False
E_EMLOC,92712,64,0.24314409425155278,0.3474270860097949,0.24143122058645394,0.2431829468261596,138.24465730012162,False
E_EMLOC,92712,128,0.24127616353801556,0.34568421837180946,0.23985830779069045,0.24130325415847403,234.7930907998816,True
E_DELTA,92712,0,0.24780562359727362,0.3531245290059376,0.247805622831108,,97.36808049998945,False
E_DELTA,92712,16,0.2446866826632431,0.34848130509379927,0.24462335168626523,,126.46084940002766,False
E_DELTA,92712,32,0.24342008724083675,0.3470656646093367,0.2431818504447414,,155.44584010000108,False
E_DELTA,92712,64,0.2430789343284043,0.34721177271871284,0.2429674996934789,,207.65825129993027,False
E_DELTA,92712,128,0.24172758457437757,0.3461207010490197,0.24151289099923018,,306.7341321996646,True
E_VALUE_DELTA,92712,0,0.24780562359727362,0.3531245290059376,0.24780562155187802,,104.58242430002429,False
E_VALUE_DELTA,92712,16,0.24507195074040894,0.34895439121225497,0.24501454604436207,,133.3474590998958,False
E_VALUE_DELTA,92712,32,0.24369314362757263,0.3472229148351395,0.24345823162516825,,162.17155260010622,False
E_VALUE_DELTA,92712,64,0.24320365030383218,0.34702793996185133,0.24324556942208866,,215.47198200022103,False
E_VALUE_DELTA,92712,128,0.24222132032363838,0.3461597258172562,0.24211728099195098,,315.1042820001603,True
E_RESPONSE_DELTA,92712,0,0.24780562359727362,0.3531245290059376,0.2478056212669118,,110.63630849990295,False
E_RESPONSE_DELTA,92712,16,0.24511761528327602,0.34910559603776387,0.24534272224203998,,139.36429769988172,False
E_RESPONSE_DELTA,92712,32,0.24368217598929315,0.3473865820710825,0.24417507395617477,,168.59923170000548,False
E_RESPONSE_DELTA,92712,64,0.2430473396832651,0.3468890162516495,0.24364850814363867,,220.10243779997109,False
E_RESPONSE_DELTA,92712,128,0.24188365223958674,0.34587202177280857,0.2423820095369024,,317.25777519936673,True
