dataset,arm,seed,lr,checkpoint,reconciliation,origin,target_start,primary,bottom_rmsse,raw_mae,coherence_mae,coherence_max
Labour,LORA_POOL,92111,0.0003,256,ols,486,2018-08-01,0.7292148484561207,1.1025032387202744,10.041008348752555,7.952261331565378e-13,1.0913936421275139e-10
Labour,LORA_POOL,92111,0.0003,256,ols,487,2018-09-01,0.7359883152250679,1.0694603803548048,11.369355893492784,5.901659927485791e-13,6.184563972055912e-11
Labour,LORA_POOL,92111,0.0003,256,ols,488,2018-10-01,0.6626430606068839,0.984476872770328,9.80536130667724,5.962949432470946e-13,6.184563972055912e-11
Labour,LORA_POOL,92111,0.0003,256,ols,489,2018-11-01,0.7114146160940686,1.048078020340438,11.009053312785648,6.420958631588824e-13,7.275957614183426e-11
Labour,LORA_POOL,92111,0.0003,256,ols,490,2018-12-01,0.6742981850122872,1.0741025930107546,9.832383583653094,7.032295473686512e-13,6.366462912410498e-11
Labour,LORA_POOL,92111,0.0003,256,ols,491,2019-01-01,0.6571759967127514,1.0010016132495267,9.061314231664479,8.43977259748967e-13,7.639755494892597e-11
Labour,LORA_HIER,92111,0.0003,512,unreconciled,455,2016-01-01,0.6969132783849514,1.0785228896989052,12.534061278939877,3.298739654976025,107.26381874084473
Labour,LORA_HIER,92111,0.0003,512,unreconciled,456,2016-02-01,0.7250918932518117,1.0648649497499245,13.895132889222007,2.8007392130400004,83.62964534759521
Labour,LORA_HIER,92111,0.0003,512,unreconciled,457,2016-03-01,0.7016021166607894,1.0455648658967083,12.458880263433548,2.9783577180048177,70.0363073348999
Labour,LORA_HIER,92111,0.0003,512,unreconciled,458,2016-04-01,0.6723215804717386,0.9770565154626392,11.01611084371632,2.721275775753267,69.75807189941406
Labour,LORA_HIER,92111,0.0003,512,unreconciled,459,2016-05-01,0.67940263725865,0.9609948824083233,11.108403699031951,2.6680194927237886,100.81839179992676
Labour,LORA_HIER,92111,0.0003,512,unreconciled,460,2016-06-01,0.6571852916006135,0.9338305625780292,10.573170582450109,2.5230230838931793,78.68707275390625
Labour,LORA_HIER,92111,0.0003,512,unreconciled,461,2016-07-01,0.6515993362001606,0.8724046215755701,9.86856835739481,2.934834969671149,108.55383396148682
Labour,LORA_HIER,92111,0.0003,512,unreconciled,462,2016-08-01,0.7000389308043594,0.9232627409536933,10.607567778402126,3.158945602283143,98.19773483276367
Labour,LORA_HIER,92111,0.0003,512,unreconciled,463,2016-09-01,0.7985400435944496,0.9952262574286053,12.205325702144375,3.104506994548597,118.92253589630127
Labour,LORA_HIER,92111,0.0003,512,unreconciled,464,2016-10-01,0.8458287973361867,1.0369946079034258,13.916652578357235,2.8292503593957914,100.21381282806396
Labour,LORA_HIER,92111,0.0003,512,unreconciled,465,2016-11-01,0.8535060947412751,1.02383113392865,13.432247697952494,2.6184743217557496,95.36130809783936
Labour,LORA_HIER,92111,0.0003,512,unreconciled,466,2016-12-01,0.876870947236398,0.9582162365845583,14.04391614582032,2.8421767859431037,103.11417961120605
Labour,LORA_HIER,92111,0.0003,512,unreconciled,467,2017-01-01,0.8339469306644289,0.929744967478691,12.647963417892424,2.632524755265978,79.0836763381958
Labour,LORA_HIER,92111,0.0003,512,unreconciled,468,2017-02-01,1.048478783852976,1.0170985837141564,17.68131288638106,2.562576401303386,99.24111366271973
Labour,LORA_HIER,92111,0.0003,512,unreconciled,469,2017-03-01,0.9705839655200108,0.9590282989676086,15.259692577735741,2.612922650331642,106.87216663360596
Labour,LORA_HIER,92111,0.0003,512,unreconciled,470,2017-04-01,0.9877257436697982,0.9680951648714864,15.957294994981977,2.3829070141440942,82.98751258850098
Labour,LORA_HIER,92111,0.0003,512,unreconciled,471,2017-05-01,0.9550305045929441,1.027885937643987,15.501026376758285,2.3998902541155007,80.33504104614258
Labour,LORA_HIER,92111,0.0003,512,unreconciled,472,2017-06-01,0.806530258805215,0.9334913137175141,12.61420433775246,2.4462224740033958,65.43475341796875
Labour,LORA_HIER,92111,0.0003,512,unreconciled,473,2017-07-01,0.8024955684416198,0.8880233135931546,12.935666660837974,3.0342039755213333,85.85492134094238
Labour,LORA_HIER,92111,0.0003,512,unreconciled,474,2017-08-01,0.7916891836898317,0.8525230050069872,12.687171636278938,3.1505175501282454,83.29902172088623
Labour,LORA_HIER,92111,0.0003,512,unreconciled,475,2017-09-01,0.7998397878730894,0.8211218743435587,13.123131945512844,3.1774449766727915,92.76964950561523
Labour,LORA_HIER,92111,0.0003,512,unreconciled,476,2017-10-01,0.6894438479021305,0.8271634824441008,10.953733533544614,2.750782915026124,57.35270118713379
Labour,LORA_HIER,92111,0.0003,512,unreconciled,477,2017-11-01,0.7357130292698985,0.8807856018945963,11.512393560099474,2.881908440450479,82.76447868347168
Labour,LORA_HIER,92111,0.0003,512,unreconciled,478,2017-12-01,0.6938652926286295,0.8874997519255505,10.76854254909925,2.9184359332971406,86.25884437561035
Labour,LORA_HIER,92111,0.0003,512,unreconciled,479,2018-01-01,0.6844656850563482,0.9613463256500512,9.578143514429122,3.6333233222626804,107.97822570800781
Labour,LORA_HIER,92111,0.0003,512,unreconciled,480,2018-02-01,0.8044849720576694,1.0463851620755895,13.165597603684937,2.9142581161699797,87.36320114135742
Labour,LORA_HIER,92111,0.0003,512,unreconciled,481,2018-03-01,0.6850457246972597,1.0334428369522881,9.696987463258788,2.3880454936222724,52.82469844818115
Labour,LORA_HIER,92111,0.0003,512,unreconciled,482,2018-04-01,0.7394850714697985,1.0803844868477073,10.956578430296203,2.604037460527922,52.36224937438965
Labour,LORA_HIER,92111,0.0003,512,unreconciled,483,2018-05-01,0.7396151061110902,1.0841032809630384,11.027535334305346,2.495752129638404,78.56676006317139
Labour,LORA_HIER,92111,0.0003,512,unreconciled,484,2018-06-01,0.7518479634042141,1.109767372303711,11.10548445364102,2.0508561301649664,52.725215911865234
Labour,LORA_HIER,92111,0.0003,512,unreconciled,485,2018-07-01,0.799086880557458,1.15239799272387,11.530960051468771,2.1449539145531014,51.774160385131836
Labour,LORA_HIER,92111,0.0003,512,unreconciled,486,2018-08-01,0.8353676714834709,1.1173027465206693,12.216653527562551,2.3161721675716644,81.90490818023682
Labour,LORA_HIER,92111,0.0003,512,unreconciled,487,2018-09-01,0.8712203634223815,1.0866751201999993,13.570996713925963,2.927873278221889,106.71644306182861
Labour,LORA_HIER,92111,0.0003,512,unreconciled,488,2018-10-01,0.7832945156154506,0.9959039277132735,12.04093191053026,2.7599620219559697,84.64450359344482
Labour,LORA_HIER,92111,0.0003,512,unreconciled,489,2018-11-01,0.818542738760456,1.0637686745933974,12.766676834686427,3.0832393211230897,111.30466270446777
Labour,LORA_HIER,92111,0.0003,512,unreconciled,490,2018-12-01,0.7731150989879894,1.0347992754520874,11.857777164978446,4.151996153837059,140.47961044311523
Labour,LORA_HIER,92111,0.0003,512,unreconciled,491,2019-01-01,0.6832494593434508,0.9389302077298464,9.752940830120753,3.9300232351871958,146.97506523132324
Labour,LORA_HIER,92111,0.0003,512,bottom_up,455,2016-01-01,0.8211467105268964,1.0785228896989052,14.509106312863455,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,456,2016-02-01,0.787740465686748,1.0648649497499245,14.209809065933298,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,457,2016-03-01,0.7813883396133757,1.0455648658967083,13.35773777847422,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,458,2016-04-01,0.7456479643196976,0.9770565154626392,11.914407647633633,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,459,2016-05-01,0.7000410084716492,0.9609948824083233,11.192120110879408,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,460,2016-06-01,0.6665640855402704,0.9338305625780292,10.651973539688663,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,461,2016-07-01,0.596202606147064,0.8724046215755701,9.192815735773241,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,462,2016-08-01,0.6305916320738448,0.9232627409536933,9.736679838645495,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,463,2016-09-01,0.656072908132798,0.9952262574286053,10.389812830492767,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,464,2016-10-01,0.7272456462024611,1.0369946079034258,12.214380058707214,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,465,2016-11-01,0.7586344054554832,1.02383113392865,12.260318596882342,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,466,2016-12-01,0.759340976582701,0.9582162365845583,12.268776193124925,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,467,2017-01-01,0.7679435931432271,0.929744967478691,11.42418523040927,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,468,2017-02-01,0.9400201900278019,1.0170985837141564,15.722640106679052,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,469,2017-03-01,0.8652770418754516,0.9590282989676086,13.619053707548831,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,470,2017-04-01,0.8918975677532817,0.9680951648714864,14.598977408452614,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,471,2017-05-01,0.8802198676345296,1.027885937643987,14.547104634593186,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,472,2017-06-01,0.7492639084438482,0.9334913137175141,11.492132586891671,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,473,2017-07-01,0.6935381944124723,0.8880233135931546,11.053824148869868,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,474,2017-08-01,0.6740484762639853,0.8525230050069872,11.035948106675143,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,475,2017-09-01,0.6813050789335164,0.8211218743435587,11.241505747842961,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,476,2017-10-01,0.6686817629832733,0.8271634824441008,10.307581852465532,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,477,2017-11-01,0.6660509766902416,0.8807856018945963,10.012550479744208,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,478,2017-12-01,0.674835766606066,0.8874997519255505,9.709254266805367,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,479,2018-01-01,0.7363227532080368,0.9613463256500512,9.290295353580127,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,480,2018-02-01,0.8301208985860682,1.0463851620755895,12.068453001957373,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,481,2018-03-01,0.7894239167048058,1.0334428369522881,10.482529311802312,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,482,2018-04-01,0.8261787306158315,1.0803844868477073,11.494015966539411,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,483,2018-05-01,0.8010977738220886,1.0841032809630384,11.045195608859165,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,484,2018-06-01,0.8243624449589033,1.109767372303711,11.46104165933792,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,485,2018-07-01,0.8642559661639702,1.15239799272387,11.570096416237993,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,486,2018-08-01,0.8652794152251418,1.1173027465206693,11.66330212370552,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,487,2018-09-01,0.8384268096459495,1.0866751201999993,12.341799604428626,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,488,2018-10-01,0.7790544903650225,0.9959039277132735,11.144741139896864,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,489,2018-11-01,0.7848060074990282,1.0637686745933974,11.613582243761355,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,490,2018-12-01,0.7478508146019889,1.0347992754520874,10.81638189495205,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,bottom_up,491,2019-01-01,0.6984365755115609,0.9389302077298464,9.721738986512216,0.0,0.0
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,455,2016-01-01,0.6896535715398096,1.1349100230805147,12.620258816231987,2.8578569010959234e-13,2.000888343900442e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,456,2016-02-01,0.7247032264872246,1.118624664018873,13.622222490560905,2.73153819251635e-13,1.8189894035458565e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,457,2016-03-01,0.7141552069322714,1.0930314227588451,12.125482221431241,3.469713145778232e-13,2.7284841053187847e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,458,2016-04-01,0.659505316746221,0.9637392054162791,10.096335864855838,3.4492486839442057e-13,2.7284841053187847e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,459,2016-05-01,0.6932364400199891,1.015642445014517,10.703362953258946,2.8095524607262676e-13,2.000888343900442e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,460,2016-06-01,0.6944601517783101,1.024775201415046,10.485450322285622,3.333421907573955e-13,2.9103830456733704e-11
Labour,LORA_HIER,92111,0.0003,512,mint_shrink,461,2016-07-01,0.696855090222561,0.9750955719071598,10.260516287168228,2.8797756901668856e-13,2.1827872842550278e-11
