panel,arm,seed,variant,channel,primary
ettm2,LORAPLUS,92602,fixed_final,LUFL,0.09891698736303654
ettm2,LORAPLUS,92602,fixed_final,LULL,0.034795151455639314
ettm2,LORAPLUS,92602,fixed_final,OT,0.16055848583269944
ettm2,LORAPLUS,92602,budget_0.5,HUFL,0.2103126767117137
ettm2,LORAPLUS,92602,budget_0.5,HULL,0.23610947800569518
ettm2,LORAPLUS,92602,budget_0.5,MUFL,0.12701301122763647
ettm2,LORAPLUS,92602,budget_0.5,MULL,0.2647873394364703
ettm2,LORAPLUS,92602,budget_0.5,LUFL,0.09959336092380017
ettm2,LORAPLUS,92602,budget_0.5,LULL,0.03502636558490454
ettm2,LORAPLUS,92602,budget_0.5,OT,0.17225477989676694
ettm2,LORAPLUS,92602,budget_1.0,HUFL,0.2069833813895371
ettm2,LORAPLUS,92602,budget_1.0,HULL,0.23624203053640047
ettm2,LORAPLUS,92602,budget_1.0,MUFL,0.12468925245186598
ettm2,LORAPLUS,92602,budget_1.0,MULL,0.2637205038177064
ettm2,LORAPLUS,92602,budget_1.0,LUFL,0.09869305163035255
ettm2,LORAPLUS,92602,budget_1.0,LULL,0.034671946952289416
ettm2,LORAPLUS,92602,budget_1.0,OT,0.1646694502494982
